,Tokens
3900,"['habanero', 'powder', 'form', 'heat', 'impossible', 'habanero', 'powder', 'decent', 'habanero', 'flake', 'better', 'lot', 'heat']"
1702,"['stuff', 'milk', 'almond', 'milk', 'whipped', 'cream', 'ice', 'frap', 'style', 'drink']"
3011,"['organic', 'coconut', 'manna', 'spoonful', 'use', 'light', 'pleasant', 'coconut', 'packaging', 'convenient', 'benefit', 'coconut', 'wonderful', 'try']"
2817,"['maple', 'syrup', 'taste', 'sweet', 'pancake', 'deal', 'family', 'company']"
997,"['keurig', 'brewer', 'beverage', 'option', 'wife', 'coffee', 'drinker', 'grove', 'square', 'hot', 'cocoa', 'nasty', 'aftertaste', 'metallic', 'brewer', 'improvement', 'brewer', 'hot', 'water', 'nestle', 'hot', 'cocoa', 'pack', 'superior', 'beverage', 'grove', 'square', 'way', 'trash', 'mix', 'keurig', 'water']"
3271,"['hot', 'toaster', 'scoop', 'ice', 'cream', 'chocolate', 'drizzle', 'hot', 'fudge', 'sauce', 'dollop', 'whipped', 'cream', 'toaster', 'pastry']"
2547,"['stuff', 'awesome', 'fact', 'pouch', 'amazing']"
3282,"['bitter', 'chocolate', 'research', 'cocoa', 'positive', 'review', 'raw', 'cocoa', 'negative', 'review', 'primary', 'stimulant', 'cocoa', 'unhealthy', 'similar', 'side-effects', 'caffeine', 'powder', 'mystery', 'small', 'crash', 'tablespoon', 'surge', 'energy', 'worth', 'jittery', 'surge', 'crash', 'sleep', 'time', 'spoonful', 'thinking', 'end', 'cocoa', 'terrible', 'mistake', 'exact', 'side-effects', 'energy', 'lower', 'alternative']"
