Topic_label,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
breakfast drinks,tea,taste,energy,milk,tea tea,hour,pod,thing,time,water,type,night,drink,pepper,plant,powder,chocolate,price,effect,miss
service,seed,service,customer,company,price,customer service,seller,refund,gum,business,time,way,pumpkin,money,package,gift,beef,value,item,star
dessert,item,syrup,corn,price,stuff,pancake,sugar,maple,time,ingredient,corn syrup,flavor,tasting,sardine,lot,place,maple syrup,waffle,egg,cream
flavoured drinks_carbohydrates,flavor,drink,juice,calorie,sugar,water,soda,fruit,orange,pasta,noodle,rice,alternative,variety,tea,beverage,size,vitamin,lot,pop
snacks_dairy,smell,time,cheese,stick,almond,curry,price,cake,snack,online,container,yummy,cream,texture,paste,product,tasting,thing,bread,car
dog_cat,food,dog,treat,cat,chicken,china,ingredient,product,dog food,grain,baby,month,review,diet,pet,vet,time,issue,problem,formula
family_sweet snacks,candy,bag,honey,kid,cereal,wife,nut,sweet,lot,bag bag,value,price,water,cherry,flavor,size,sugar,tea,money,stevia
coffee,cup,keurig,cocoa,machine,brand,price,chocolate,cups,tea,office,oat,time,lime,pack,brewer,purchase,one,square,store,grove
sauce_condiments,sauce,butter,peanut,jar,flavor,daughter,shipping,family,coconut,peanut butter,price,tea,spicy,earth,store,meat,rice,price shipping,baby,product
snack_chips,friend,bag,snack,apple,chip,gift,time,reason,thank,pack,crunch,price,salad,vinegar,store,dressing,cider,tea,tuna,lot
calories_protein_snack_bar,bar,cooky,chocolate,box,snack,protein,breakfast,texture,cookie,bit,milk,health,granola,cereal,benefit,fiber,ingredient,chip,flavor,sugar
coffee_drinks,coffee,cup,price,bean,soup,blend,flavor,roast,coffee coffee,vanilla,coffee price,cup coffee,coffee flavor,ground,starbucks,house,aroma,morning,maker,love
grocery,salt,chip,mix,oil,store,grocery,bottle,grocery store,way,flavor,salty,potato,recipe,water,cake,deal,store price,packet,sea,popcorn
crackers_snacks,cracker,son,licorice,box,home,brand,store,graham,fat,choice,flavor,graham cracker,snack,pie,way,thing,water,crust,milk,flavour
