,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,coffee,cup,treat,product,dog,day,bag,keurig,bean,china,roast,pod,coffee coffee,brand,cup coffee,way,morning,blend,starbucks,machine
1,sugar,chocolate,milk,juice,drink,mix,product,cooky,orange,calorie,soda,fruit,apple,ingredient,flavor,bit,cocoa,thing,lot,pancake
2,snack,bar,box,salt,oil,product,butter,cracker,peanut,pack,nut,calorie,almond,protein,texture,bit,peanut butter,kid,popcorn,noodle
3,chip,bag,sauce,product,cereal,cake,seed,bean,vanilla,mix,recipe,potato,spice,spicy,brand,licorice,way,pepper,chicken,quality
4,tea,water,bottle,tea tea,honey,drink,product,coconut,brand,packet,syrup,day,soup,energy,ice,stuff,powder,flavor,taste,cream
5,product,dog,order,food,bag,item,quality,candy,package,money,rice,pasta,packaging,store,review,gift,company,brand,date,jar
6,food,store,cat,grocery,grocery store,baby,ingredient,product,way,month,quality,brand,day,formula,thing,sale,fact,package,variety,deal
