,Tokens
869,"['favorite', 'handy', 'cashew', 'black', 'sesame', 'seed', 'star', 'snack']"
323,"['matcha', 'green', 'tea', 'powder', 'cafe', 'love', 'powder', 'little', 'cute', 'reusable', 'tin', 'tea', 'smooth', 'bitter', 'green', 'tea', 'milkshake', 'best', 'wish', 'cafe', 'grade', 'powder', 'bigger', 'use', 'cafe', 'green', 'tea', 'powder', 'foil', 'bag', 'bag', 'green', 'powder', 'waste', 'tin', 'bigger', 'size']"
201,"['time', 'tea', 'revolution', 'tea', 'difference', 'change', 'tea', 'composition', 'packaging', 'wife', 'favorite', 'tea', 'metallic', 'smell', 'aftertaste', 'pomegranate', 'flavor', 'strong', 'cheap-generic-green-tea', 'flavor', 'disappointing', 'box']"
1673,"['graham', 'cracker', 'crust', 'cheesecake', 'gluten', 'eating', 'husband', 'pie']"
719,"['dont', 'tea', 'helpful', 'weight', 'wonderful', 'alternative', 'reason']"
1910,"['ceylon', 'black', 'tea', 'time', 'green', 'favorite', 'mild', 'grassy', 'green', 'tea', 'ceylon']"
3200,"['star', 'picky', 'eater', 'mix', 'hockey', 'puck', 'bitter', 'recommended', 'sweetener', 'money']"
2702,"['cheese', 'smoked', 'cheese', 'smokey', 'creamy', 'cracker', 'little', 'black', 'truffle', 'oil']"
