,Tokens
990,"['mojito', 'flavor', 'mix', 'translucent', 'green', 'twang']"
1496,"['pleasing', 'color', 'corn', 'pop']"
846,"['coconut', 'flavor', 'flavor']"
2242,"['berry', 'flavor', 'hint', 'kiwi', 'sugar', 'fruit', 'flavor', 'mouthfeel', 'fruit', 'beverage', 'carbonation', 'convinence', 'store', 'soda', 'star', 'bit']"
1172,"['cough', 'syrup', 'reviewer', 'gum', 'plant', 'austin', 'tx', 'pack', 'antonio', 'box', 'lemon', 'flavor', 'john']"
3108,"['fruit', 'punch', 'glass', 'water', 'way', 'turn', 'water', 'water', 'tasting', 'beverage']"
3295,"['flavor', 'strawberry', 'rhubarb', 'texture', 'perfect', 'treat']"
1592,"['ya', 'diet', 'treat', 'licorice', 'milk', 'licorice', 'diet', 'past', 'future', 'expectation', 'treat', 'company', 'lace', 'strawberry', 'lace', 'licorice', 'alternative', 'thought', 'cough', 'syrup', 'aftertaste', 'pack', 'source', 'pack', 'taste']"
