,Tokens
3370,"['fan', 'sweet', 'honey', 'mustard', 'french', 'line', 'various', 'mustard', 'flavor', 'tangy', 'spiciness', 'mustard', 'edge', 'honey', 'touch', 'sweetness', 'condiment']"
3263,"['plain', 'yogurt', 'fresh', 'fruit', 'fruit', 'artificial', 'sweetener', 'high', 'fructose', 'corn', 'syrup', 'calorie', 'sugar', 'pleasant', 'alternative']"
3142,"['sure', 'citrusy', 'fizzy', 'price', 'opinion', 'orangey', 'half', 'ingredient', 'list', 'orange', 'juice', 'fourth', 'juice', 'ingredient', 'list', 'apple', 'grape', 'juice', 'second', 'tangerine', 'sweetness', 'list', 'nutrition', 'information', 'calorie', 'coke', 'classic', 'added', 'sugar', 'gram', 'sugar', 'equivalent', 'coca-cola', 'bonus', 'real', 'soda', 'vitamin', 'c']"
3565,"['almond', 'coconut', 'butter', 'ball', 'better', 'kid']"
2320,"['taste', 'chemical', 'juice', 'line', 'orangina', 'closer', 'soda', 'carbonation', 'level', 'orange', 'soda', 'enjoyable', 'small', 'drink', 'high', 'calorie', 'flavor', 'caloric', 'level', 'line', 'soda', 'drinker', 'better', 'option', 'die-hard', 'juice', 'drinker', 'stick', 'fizzy', 'juice', 'little', 'seltzer', 'fruit', 'juice']"
1599,"['moderate', 'black', 'cherry', 'flavor', 'tartness', 'comment', 'prune', 'juice', 'kind', 'taste', 'cherry', 'juice', 'mixed', 'light', 'prune', 'juice', 'pasteurization', 'process', 'lot', 'prepared', 'juice']"
1693,"['naturally-flavored', 'twist', 'healthier', 'tastier', 'popular', 'type', 'market', 'plastic', 'corn', 'syrup', 'twist', 'day', 'impossible', 'man-made', 'snack', 'organic', 'wheat', 'flour', 'organic', 'sugar', 'corn', 'syrup', 'organic', 'tapioca', 'syrup', 'vegetable', 'glycerin', 'sunflower', 'oil', 'extract', 'citric', 'acid', 'natural', 'flavor', 'pomegranite', 'juice', 'concentrate', 'licorice', 'root', 'extract', 'mexico', 'newman']"
2747,"['stevia', 'product', 'past', 'awful', 'best-tasting', 'sweetener', 'healthiest', 'alternative', 'use', 'equal', 'year', 'headache', 'neurotoxin', 'splenda', 'best', 'opinion', 'healthwise', 'best', 'bit', 'aftertaste', 'tea', 'whipped', 'cream', 'bunch', 'powdered', 'sugar', 'cream', 'edible', 'greek', 'yogurt', 'berry', 'touch', 'sweetness', 'packet', 'taste', 'low', 'carb', 'dessert', '2-3', 'oz', 'cream', 'cheese', 'berry', 'packet', 'truvia']"
