,Tokens
329,"['coffee', 'lover', 'way', 'bean', 'coffee']"
2256,"['coffee', 'friend', 'collection', 'coffee', 'weekend', 'occasion', 'guest', 'dark', 'scent', 'chocolate', 'fruity', 'feel', 'mother', 'nature', 'altitude', 'kilambe']"
1507,"['cup', 'review', 'coffee', 'flavor', 'coffee', 'coffee', 'right', 'coffee', 'maker', 'honey', 'cream', 'cup', 'share', 'home', 'coffee']"
1517,"['ground', 'coffee', 'price', 'grind', 'auto-drip', 'maker', 'occasion']"
337,"['fan', 'coffee', 'maker', 'k-cups', 'girlfriend', 'coffee', 'item', 'k-cup', 'coffee', 'medium', 'roast', 'flavor', 'subscription']"
2507,"['hemp', 'seed', 'msrp', 'bag', 'half-price', 'way', 'protein', 'fat', 'july', 'ontrac', 'july', 'hempseed', 'package', 'taste', 'cereal', 'omelet', 'salad', 'veggie', 'seed', 'advance', 'benefit', 'way', 'hemp', 'seed', 'spring', 'water', 'maple', 'syrup', 'honey', 'stevia', 'sweetneer', 'dash', 'himalyan', 'flavoriing', 'cinnamon', 'vanilla', 'cardamom', 'blender', 'blend', 'milk', 'form', 'strainer', 'husk', 'residue', 'refrigerator', 'day', 'batch', 'fresh', 'milk', 'cinnamon', 'maca', 'almond', 'butter']"
699,"['cat', 'feast', 'appetizer', 'flavor', 'love', 'container']"
793,"['deal', 'ground', 'fennel', 'spice', 'seasoning', 'company', 'flavor', 'fragrance', 'herb', 'spice', 'container', 'dill', 'grass', 'onion', 'money']"
