Topic_label,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
cat_ingredient,food,cat,cat food,ingredient,year,cat cat,baby,time,science,food cat,pet,baby food,review,product,thing,diet,formula,brand,way,grain
coffee,coffee,cup,coffee coffee,bean,cup coffee,ground,roast,time,blend,decaf,brand,starbucks,coffee cup,melitta,coffee flavor,ground coffee,keurig,cups,flavor coffee,cocoa
tea,tea,tea tea,bag,tea flavor,packet,tea bag,leaf,flavor tea,cup,lipton,water,caffeine,brewing,lot,point,honey,color,tea water,tin,vanilla
sweet drinks,flavor,drink,juice,soda,orange,fruit,flavor flavor,tangerine,salt,calorie,bit,sugar,water,pack,way,cherry,vitamin,switch,orange tangerine,grape
baby_syrup,water,stool,baby,formula,sugar,milk,bottle,juice,syrup,corn,problem,breast,corn syrup,lot,time,drink,month,child,fiber,thing
chip_snack,chip,bag,kettle,brand,time,chip chip,company,salt,potato,sodium,case,bag chip,bag bag,calorie,snack,texture,chip bag,way,review,seed
dog,dog,treat,product,jerky,chicken,china,food,dog food,fda,dog treat,chicken jerky,illness,time,complaint,pet,number,consumer,owner,health,ingredient
ingredient,mix,box,cup,recipe,biscuit,rice,bisquick,time,ingredient,flour,salt,oil,milk,rice flour,sugar,gum,cake,pound,powder,starch
grocery,price,store,grocery,brand,grocery store,time,item,pack,box,package,review,cacao,way,jar,oil,sauce,shipping,stuff,deal,coconut
bar_snack,bar,snack,chocolate,sugar,calorie,protein,cooky,candy,butter,peanut,ingredient,nut,bit,fiber,granola,peanut butter,almond,texture,size,cereal
