,Tokens
1867,"['rancid', 'receipt', 'terrible', 'little', 'sugar', 'used', 'wrong', 'final', 'can']"
585,"['honey', 'welcome', 'alternative', 'sugar', 'morning', 'oat', 'steel', 'cut', 'oat', 'custard', 'teaspoonful', 'long', 'way', 'refrigerator', 'place', 'over-processed', 'store', 'cane', 'sugar']"
178,"['delightful', 'better', 'chocolate', 'hooked']"
1344,"['banana', 'nut', 'bread', 'soft', 'cereal', 'bar', 'banana', 'perfect', 'breakfast', 'people', 'commute', 'afternoon', 'snack', 'sweet', 'tooth', 'healthier', 'version', 'toaster', 'best', 'protein', 'b', 'vitamin', 'fiber', 'cinnamon', 'pecan']"
3482,"['easter', 'party', 'purchase', 'pinata', 'kid', 'surprised', 'happy', 'candy']"
152,"['lot', 'variability', 'macadamians', 'producer', 'bag', 'perfect', 'degree', 'bitterness', 'hard', 'consistency', 'early', 'perfect', 'consistency', 'flavor', 'vast', 'majority', 'half', 'smaller', 'piece', 'bag', 'period', 'excellent', 'macadamia', 'nut', 'regular', 'diet', 'bad', 'cholesterol', 'high', 'content', 'fat', 'low', 'carbs', 'simple', 'carbs', 'edge', 'appetite', 'nut', 'low', 'oxalate', 'regular', 'use', 'risk', 'kidney', 'stone', 'pistachio', 'walnut', 'low', 'oxalate', 'catch', 'high', 'healthy', 'fat', 'content', 'high', 'calorie', 'count', 'unit', 'volume', 'bullet', 'large', 'container', 'happy', '5-star', 'review']"
720,"['little', 'cooky', 'fantastic', 'sweet', 'right', 'chocolate', 'melt', 'cooler', 'month']"
3726,"['cooky', 'little', 'gooey', 'calorie', 'count', 'cookie', 'high']"
