,Tokens
1650,"['type', 'starbucks', 'coffee', 'blend', 'brew', 'milder', 'coffee', 'vanilla', 'flavor', 'alternative', 'change', 'smell', 'vanilla', 'kitchen', 'bean', 'ingredient', 'bag', 'coffee', 'star']"
2256,"['coffee', 'friend', 'collection', 'coffee', 'weekend', 'occasion', 'guest', 'dark', 'scent', 'chocolate', 'fruity', 'feel', 'mother', 'nature', 'altitude', 'kilambe']"
231,"['coffee', 'company', 'way', 'customer', 'service', 'problem', 'subscribe', 'brooklyn', 'bridge', 'breakfast', 'blend']"
3937,"['coffee', 'machine', 'burnt']"
1779,"['espresso', 'coffee', 'press', 'coffee', 'espresso', 'machine', 'espresso', 'price', 'can']"
282,"['tasting', 'kcup', 'cider', 'girlfriend', 'garbage']"
2559,"['hurry', 'review', 'description', 'coffee', 'vanilla', 'feel']"
1697,"['fact', 'brand', 'way', 'breakfast', 'coffee', 'dinner', 'coffee', 'way']"
